video_id,label,start,end
6885444800233966853,music,0.24,37.76
6908507643640368389,music,0.0,16.56
6900419944903675138,noEnergy,0.0,0.66
6900419944903675138,female,0.66,52.620000000000005
6900419944903675138,noEnergy,52.620000000000005,54.160000000000004
6900419944903675138,female,54.160000000000004,55.0
6900419944903675138,noEnergy,55.0,55.72
6900419944903675138,noise,55.72,56.64
6900419944903675138,noEnergy,56.64,57.24
6912181165650644229,female,0.0,2.04
6912181165650644229,noEnergy,2.04,2.82
6912181165650644229,music,2.82,4.78
6912181165650644229,noEnergy,4.78,5.18
6912181165650644229,music,5.18,47.36
6880258643015634181,noise,0.0,16.42
6880258643015634181,music,16.42,20.02
6880258643015634181,noise,20.02,23.6
6891221288040369410,male,0.0,6.140000000000001
6891221288040369410,noEnergy,6.140000000000001,6.640000000000001
6891221288040369410,male,6.640000000000001,7.4
6891221288040369410,noEnergy,7.4,7.84
6891221288040369410,male,7.84,9.64
6891221288040369410,noEnergy,9.64,10.06
6891221288040369410,male,10.06,13.6
6891397980339948806,music,0.0,14.46
6878925222205066501,music,0.0,15.06
6889652234699771141,female,0.0,15.040000000000001
6890982501154639109,music,0.0,3.8200000000000003
6890982501154639109,noEnergy,3.8200000000000003,4.98
6890982501154639109,music,4.98,21.88
6890982501154639109,male,21.88,26.740000000000002
6890982501154639109,music,26.740000000000002,36.9
6890982501154639109,male,36.9,42.76
6890982501154639109,music,42.76,58.980000000000004
6899587345075522821,music,0.0,8.540000000000001
6899587345075522821,female,8.540000000000001,12.38
6899587345075522821,male,12.38,15.66
6899587345075522821,female,15.66,32.6
6899587345075522821,male,32.6,34.800000000000004
6899587345075522821,female,34.800000000000004,58.52
6899587345075522821,noEnergy,58.52,59.04
6891110280131104006,music,0.0,9.68
6891110280131104006,noEnergy,9.68,11.68
6891110280131104006,music,11.68,17.1
6882411862365867270,music,0.0,11.02
6845419713455983877,noise,0.0,1.6600000000000001
6845419713455983877,female,1.6600000000000001,4.28
6845419713455983877,male,4.28,13.52
6845419713455983877,female,13.52,16.6
6845419713455983877,male,16.6,22.38
6845419713455983877,female,22.38,31.220000000000002
6845419713455983877,male,31.220000000000002,33.160000000000004
6891326084759964934,music,0.0,6.16
6875766692048325893,male,0.0,32.44
6891106509799836934,music,0.0,10.76
6892539324441660678,music,0.0,12.08
6890898872080551173,male,0.0,9.74
6891025251380038917,female,0.0,9.92
6861618166192262405,female,0.0,1.26
6861618166192262405,male,1.26,2.58
6861618166192262405,female,2.58,3.3200000000000003
6861618166192262405,music,3.3200000000000003,4.46
6861618166192262405,male,4.46,6.44
6861618166192262405,female,6.44,10.52
6861618166192262405,music,10.52,12.82
6889207964851358982,male,0.0,13.82
6889207964851358982,music,13.82,16.04
6889207964851358982,noise,16.04,18.38
6889207964851358982,noEnergy,18.38,20.8
6889207964851358982,noise,20.8,26.92
6889207964851358982,male,26.92,29.46
6844327949672385797,noise,0.0,2.08
6844327949672385797,music,2.08,8.4
6844327949672385797,noise,8.4,15.06
6891325158200544517,music,0.0,13.52
6859502002100112646,music,0.0,28.7
